# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-10-12 07:07:53 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07031650 WOLF RIVER AT GERMANTOWN, TN
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 07031650
#    TS_ID       Parameter Description
#    131625      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	131625_00060	131625_00060_cd
USGS	07031650	2023-10-15 19:30	CDT	272	A
USGS	07031650	2023-10-15 19:45	CDT	272	A
USGS	07031650	2023-10-15 20:00	CDT	272	A
USGS	07031650	2023-10-15 20:15	CDT	272	A
USGS	07031650	2023-10-15 20:30	CDT	272	A
USGS	07031650	2023-10-15 20:45	CDT	272	A
USGS	07031650	2023-10-15 21:00	CDT	272	A
USGS	07031650	2023-10-15 21:15	CDT	272	A
USGS	07031650	2023-10-15 21:30	CDT	272	A
USGS	07031650	2023-10-15 21:45	CDT	272	A
USGS	07031650	2023-10-15 22:00	CDT	272	A
USGS	07031650	2023-10-15 22:15	CDT	272	A
USGS	07031650	2023-10-15 22:30	CDT	272	A
USGS	07031650	2023-10-15 22:45	CDT	272	A
USGS	07031650	2023-10-15 23:00	CDT	274	A
USGS	07031650	2023-10-15 23:15	CDT	272	A
USGS	07031650	2023-10-15 23:30	CDT	272	A
USGS	07031650	2023-10-15 23:45	CDT	272	A
USGS	07031650	2023-10-16 00:00	CDT	272	A
USGS	07031650	2023-10-16 00:15	CDT	272	A
USGS	07031650	2023-10-16 00:30	CDT	272	A
USGS	07031650	2023-10-16 00:45	CDT	272	A
USGS	07031650	2023-10-16 01:00	CDT	272	A
USGS	07031650	2023-10-16 01:15	CDT	272	A
USGS	07031650	2023-10-16 01:30	CDT	272	A
USGS	07031650	2023-10-16 01:45	CDT	272	A
USGS	07031650	2023-10-16 02:00	CDT	272	A
USGS	07031650	2023-10-16 02:15	CDT	274	A
USGS	07031650	2023-10-16 02:30	CDT	272	A
USGS	07031650	2023-10-16 02:45	CDT	274	A
USGS	07031650	2023-10-16 03:00	CDT	272	A
USGS	07031650	2023-10-16 03:15	CDT	272	A
USGS	07031650	2023-10-16 03:30	CDT	272	A
USGS	07031650	2023-10-16 03:45	CDT	272	A
USGS	07031650	2023-10-16 04:00	CDT	272	A
USGS	07031650	2023-10-16 04:15	CDT	272	A
USGS	07031650	2023-10-16 04:30	CDT	272	A
USGS	07031650	2023-10-16 04:45	CDT	272	A
USGS	07031650	2023-10-16 05:00	CDT	272	A
USGS	07031650	2023-10-16 05:15	CDT	272	A
USGS	07031650	2023-10-16 05:30	CDT	272	A
USGS	07031650	2023-10-16 05:45	CDT	272	A
USGS	07031650	2023-10-16 06:00	CDT	269	A
USGS	07031650	2023-10-16 06:15	CDT	269	A
USGS	07031650	2023-10-16 06:30	CDT	272	A
USGS	07031650	2023-10-16 06:45	CDT	269	A
USGS	07031650	2023-10-16 07:00	CDT	269	A
USGS	07031650	2023-10-16 07:15	CDT	269	A
USGS	07031650	2023-10-16 07:30	CDT	269	A
USGS	07031650	2023-10-16 07:45	CDT	269	A
USGS	07031650	2023-10-16 08:00	CDT	269	A
USGS	07031650	2023-10-16 08:15	CDT	269	A
USGS	07031650	2023-10-16 08:30	CDT	269	A
USGS	07031650	2023-10-16 08:45	CDT	269	A
USGS	07031650	2023-10-16 09:00	CDT	269	A
USGS	07031650	2023-10-16 09:15	CDT	266	A
USGS	07031650	2023-10-16 09:30	CDT	269	A
USGS	07031650	2023-10-16 09:45	CDT	266	A
USGS	07031650	2023-10-16 10:00	CDT	269	A
USGS	07031650	2023-10-16 10:15	CDT	266	A
USGS	07031650	2023-10-16 10:30	CDT	266	A
USGS	07031650	2023-10-16 10:45	CDT	266	A
USGS	07031650	2023-10-16 11:00	CDT	266	A
USGS	07031650	2023-10-16 11:15	CDT	269	A
USGS	07031650	2023-10-16 11:30	CDT	266	A
USGS	07031650	2023-10-16 11:45	CDT	269	A
USGS	07031650	2023-10-16 12:00	CDT	269	A
USGS	07031650	2023-10-16 12:15	CDT	269	A
USGS	07031650	2023-10-16 12:30	CDT	269	A
USGS	07031650	2023-10-16 12:45	CDT	269	A
USGS	07031650	2023-10-16 13:00	CDT	269	A
USGS	07031650	2023-10-16 13:15	CDT	269	A
USGS	07031650	2023-10-16 13:30	CDT	269	A
USGS	07031650	2023-10-16 13:45	CDT	269	A
USGS	07031650	2023-10-16 14:00	CDT	269	A
USGS	07031650	2023-10-16 14:15	CDT	269	A
USGS	07031650	2023-10-16 14:30	CDT	269	A
USGS	07031650	2023-10-16 14:45	CDT	269	A
USGS	07031650	2023-10-16 15:00	CDT	269	A
USGS	07031650	2023-10-16 15:15	CDT	269	A
USGS	07031650	2023-10-16 15:30	CDT	269	A
USGS	07031650	2023-10-16 15:45	CDT	269	A
USGS	07031650	2023-10-16 16:00	CDT	269	A
USGS	07031650	2023-10-16 16:15	CDT	269	A
USGS	07031650	2023-10-16 16:30	CDT	269	A
USGS	07031650	2023-10-16 16:45	CDT	269	A
USGS	07031650	2023-10-16 17:00	CDT	266	A
USGS	07031650	2023-10-16 17:15	CDT	269	A
USGS	07031650	2023-10-16 17:30	CDT	269	A
USGS	07031650	2023-10-16 17:45	CDT	266	A
USGS	07031650	2023-10-16 18:00	CDT	269	A
USGS	07031650	2023-10-16 18:15	CDT	266	A
USGS	07031650	2023-10-16 18:30	CDT	269	A
USGS	07031650	2023-10-16 18:45	CDT	266	A
USGS	07031650	2023-10-16 19:00	CDT	266	A
USGS	07031650	2023-10-16 19:15	CDT	269	A
USGS	07031650	2023-10-16 19:30	CDT	269	A
USGS	07031650	2023-10-16 19:45	CDT	269	A
USGS	07031650	2023-10-16 20:00	CDT	267	A
USGS	07031650	2023-10-16 20:15	CDT	269	A
USGS	07031650	2023-10-16 20:30	CDT	267	A
USGS	07031650	2023-10-16 20:45	CDT	269	A
USGS	07031650	2023-10-16 21:00	CDT	267	A
USGS	07031650	2023-10-16 21:15	CDT	269	A
USGS	07031650	2023-10-16 21:30	CDT	267	A
USGS	07031650	2023-10-16 21:45	CDT	269	A
USGS	07031650	2023-10-16 22:00	CDT	269	A
USGS	07031650	2023-10-16 22:15	CDT	269	A
USGS	07031650	2023-10-16 22:30	CDT	269	A
USGS	07031650	2023-10-16 22:45	CDT	269	A
USGS	07031650	2023-10-16 23:00	CDT	269	A
USGS	07031650	2023-10-16 23:15	CDT	269	A
USGS	07031650	2023-10-16 23:30	CDT	269	A
USGS	07031650	2023-10-16 23:45	CDT	269	A
USGS	07031650	2023-10-17 00:00	CDT	269	A
USGS	07031650	2023-10-17 00:15	CDT	269	A
USGS	07031650	2023-10-17 00:30	CDT	269	A
USGS	07031650	2023-10-17 00:45	CDT	269	A
USGS	07031650	2023-10-17 01:00	CDT	269	A
USGS	07031650	2023-10-17 01:15	CDT	269	A
USGS	07031650	2023-10-17 01:30	CDT	272	A
USGS	07031650	2023-10-17 01:45	CDT	269	A
USGS	07031650	2023-10-17 02:00	CDT	269	A
USGS	07031650	2023-10-17 02:15	CDT	269	A
USGS	07031650	2023-10-17 02:30	CDT	272	A
USGS	07031650	2023-10-17 02:45	CDT	269	A
USGS	07031650	2023-10-17 03:00	CDT	272	A
USGS	07031650	2023-10-17 03:15	CDT	269	A
USGS	07031650	2023-10-17 03:30	CDT	272	A
USGS	07031650	2023-10-17 03:45	CDT	272	A
USGS	07031650	2023-10-17 04:00	CDT	272	A
USGS	07031650	2023-10-17 04:15	CDT	272	A
USGS	07031650	2023-10-17 04:30	CDT	269	A
USGS	07031650	2023-10-17 04:45	CDT	272	A
USGS	07031650	2023-10-17 05:00	CDT	269	A
USGS	07031650	2023-10-17 05:15	CDT	269	A
USGS	07031650	2023-10-17 05:30	CDT	269	A
USGS	07031650	2023-10-17 05:45	CDT	269	A
USGS	07031650	2023-10-17 06:00	CDT	269	A
USGS	07031650	2023-10-17 06:15	CDT	269	A
USGS	07031650	2023-10-17 06:30	CDT	269	A
USGS	07031650	2023-10-17 06:45	CDT	269	A
USGS	07031650	2023-10-17 07:00	CDT	267	A
USGS	07031650	2023-10-17 07:15	CDT	269	A
USGS	07031650	2023-10-17 07:30	CDT	267	A
USGS	07031650	2023-10-17 07:45	CDT	267	A
USGS	07031650	2023-10-17 08:00	CDT	267	A
USGS	07031650	2023-10-17 08:15	CDT	267	A
USGS	07031650	2023-10-17 08:30	CDT	267	A
USGS	07031650	2023-10-17 08:45	CDT	267	A
USGS	07031650	2023-10-17 09:00	CDT	267	A
USGS	07031650	2023-10-17 09:15	CDT	267	A
USGS	07031650	2023-10-17 09:30	CDT	267	A
USGS	07031650	2023-10-17 09:45	CDT	267	A
USGS	07031650	2023-10-17 10:00	CDT	267	A
USGS	07031650	2023-10-17 10:15	CDT	267	A
USGS	07031650	2023-10-17 10:30	CDT	267	A
USGS	07031650	2023-10-17 10:45	CDT	267	A
USGS	07031650	2023-10-17 11:00	CDT	267	A
USGS	07031650	2023-10-17 11:15	CDT	267	A
USGS	07031650	2023-10-17 11:30	CDT	267	A
USGS	07031650	2023-10-17 11:45	CDT	267	A
USGS	07031650	2023-10-17 12:00	CDT	269	A
USGS	07031650	2023-10-17 12:15	CDT	267	A
USGS	07031650	2023-10-17 12:30	CDT	269	A
USGS	07031650	2023-10-17 12:45	CDT	269	A
USGS	07031650	2023-10-17 13:00	CDT	269	A
USGS	07031650	2023-10-17 13:15	CDT	269	A
USGS	07031650	2023-10-17 13:30	CDT	269	A
USGS	07031650	2023-10-17 13:45	CDT	269	A
USGS	07031650	2023-10-17 14:00	CDT	269	A
USGS	07031650	2023-10-17 14:15	CDT	269	A
USGS	07031650	2023-10-17 14:30	CDT	269	A
USGS	07031650	2023-10-17 14:45	CDT	269	A
USGS	07031650	2023-10-17 15:00	CDT	269	A
USGS	07031650	2023-10-17 15:15	CDT	269	A
USGS	07031650	2023-10-17 15:30	CDT	269	A
USGS	07031650	2023-10-17 15:45	CDT	272	A
USGS	07031650	2023-10-17 16:00	CDT	269	A
USGS	07031650	2023-10-17 16:15	CDT	269	A
USGS	07031650	2023-10-17 16:30	CDT	269	A
USGS	07031650	2023-10-17 16:45	CDT	269	A
USGS	07031650	2023-10-17 17:00	CDT	269	A
USGS	07031650	2023-10-17 17:15	CDT	269	A
USGS	07031650	2023-10-17 17:30	CDT	269	A
USGS	07031650	2023-10-17 17:45	CDT	269	A
USGS	07031650	2023-10-17 18:00	CDT	269	A
USGS	07031650	2023-10-17 18:15	CDT	269	A
USGS	07031650	2023-10-17 18:30	CDT	269	A
USGS	07031650	2023-10-17 18:45	CDT	269	A
USGS	07031650	2023-10-17 19:00	CDT	269	A
USGS	07031650	2023-10-17 19:15	CDT	272	A
USGS	07031650	2023-10-17 19:30	CDT	269	A
USGS	07031650	2023-10-17 19:45	CDT	269	A
USGS	07031650	2023-10-17 20:00	CDT	269	A
USGS	07031650	2023-10-17 20:15	CDT	269	A
USGS	07031650	2023-10-17 20:30	CDT	269	A
USGS	07031650	2023-10-17 20:45	CDT	269	A
USGS	07031650	2023-10-17 21:00	CDT	269	A
USGS	07031650	2023-10-17 21:15	CDT	269	A
USGS	07031650	2023-10-17 21:30	CDT	269	A
USGS	07031650	2023-10-17 21:45	CDT	269	A
USGS	07031650	2023-10-17 22:00	CDT	269	A
USGS	07031650	2023-10-17 22:15	CDT	269	A
USGS	07031650	2023-10-17 22:30	CDT	269	A
USGS	07031650	2023-10-17 22:45	CDT	269	A
USGS	07031650	2023-10-17 23:00	CDT	269	A
USGS	07031650	2023-10-17 23:15	CDT	269	A
USGS	07031650	2023-10-17 23:30	CDT	269	A
USGS	07031650	2023-10-17 23:45	CDT	269	A
USGS	07031650	2023-10-18 00:00	CDT	269	A
USGS	07031650	2023-10-18 00:15	CDT	272	A
USGS	07031650	2023-10-18 00:30	CDT	269	A
USGS	07031650	2023-10-18 00:45	CDT	269	A
USGS	07031650	2023-10-18 01:00	CDT	272	A
USGS	07031650	2023-10-18 01:15	CDT	272	A
USGS	07031650	2023-10-18 01:30	CDT	269	A
USGS	07031650	2023-10-18 01:45	CDT	272	A
USGS	07031650	2023-10-18 02:00	CDT	272	A
USGS	07031650	2023-10-18 02:15	CDT	272	A
USGS	07031650	2023-10-18 02:30	CDT	269	A
USGS	07031650	2023-10-18 02:45	CDT	269	A
USGS	07031650	2023-10-18 03:00	CDT	269	A
USGS	07031650	2023-10-18 03:15	CDT	269	A
USGS	07031650	2023-10-18 03:30	CDT	269	A
USGS	07031650	2023-10-18 03:45	CDT	269	A
USGS	07031650	2023-10-18 04:00	CDT	269	A
USGS	07031650	2023-10-18 04:15	CDT	269	A
USGS	07031650	2023-10-18 04:30	CDT	269	A
USGS	07031650	2023-10-18 04:45	CDT	269	A
USGS	07031650	2023-10-18 05:00	CDT	269	A
USGS	07031650	2023-10-18 05:15	CDT	269	A
USGS	07031650	2023-10-18 05:30	CDT	269	A
